"","leaf","timepoint","replicate","group"
"m2_011","LP1","10","1","LP1_10"
"m2_021","LP1","10","2","LP1_10"
"m2_031","LP1","10","3","LP1_10"
"m2_041","LP6","10","1","LP6_10"
"m2_051","LP6","10","2","LP6_10"
"m2_061","LP6","10","3","LP6_10"
"m2_071","LP1","14","1","LP1_14"
"m2_081","LP1","14","2","LP1_14"
"m2_091","LP1","14","3","LP1_14"
"m2_101","LP6","14","1","LP6_14"
"m2_111","LP6","14","2","LP6_14"
"m2_121","LP6","14","3","LP6_14"
"m2_131","LP1","18","1","LP1_18"
"m2_141","LP1","18","2","LP1_18"
"m2_151","LP1","18","3","LP1_18"
"m2_161","LP6","18","1","LP6_18"
"m2_171","LP6","18","2","LP6_18"
"m2_181","LP6","18","3","LP6_18"
"m2_191","LP1","22","1","LP1_22"
"m2_201","LP1","22","2","LP1_22"
"m2_211","LP1","22","3","LP1_22"
"m2_221","LP6","22","1","LP6_22"
"m2_231","LP6","22","2","LP6_22"
"m2_241","LP6","22","3","LP6_22"
"m2_251","LP1","02","1","LP1_02"
"m2_261","LP1","02","2","LP1_02"
"m2_271","LP1","02","3","LP1_02"
"m2_281","LP6","02","1","LP6_02"
"m2_291","LP6","02","2","LP6_02"
"m2_301","LP6","02","3","LP6_02"
"m2_311","LP1","06","1","LP1_06"
"m2_321","LP1","06","2","LP1_06"
"m2_331","LP1","06","3","LP1_06"
"m2_341","LP6","06","1","LP6_06"
"m2_351","LP6","06","2","LP6_06"
"m2_361","LP6","06","3","LP6_06"
