"GeneID","Gene_Name","Description","CAM_Function","Significant_timepoints","LP6_higher_timepoints","LP1_higher_timepoints","Mean_log2FC","Maximum_abs_log2FC","Interaction_stat","Interaction_pvalue","Interaction_padj","Interaction_significant","KEGG_Pathways","In_CAM_enriched_KEGG","Evidence_score"
"KfGene007051-RA","PPDK","Pyruvate phosphate dikinase","PPDK",6,6,0,4.74628825997536,5.52332086447343,18.6289556413983,0.00225316908882009,0.00746026212828039,"Yes","Carbon metabolism; Other carbon fixation pathways","Yes",10
"KfGene008398-RA","MDH","Malate dehydrogenase","MDH",6,6,0,4.3513096715975,5.06277268182057,14.1035803327661,0.0149646760029323,0.0371527637260511,"Yes","Carbon metabolism","Yes",10
"KfGene002819-RA",NA,"Malic enzyme","Malic enzyme",6,6,0,2.89897262530735,4.03469037888822,20.8163975681287,0.000877371893251426,0.00331611124005925,"Yes","Carbon metabolism","Yes",10
"KfGene002788-RA",NA,"Malic enzyme","Malic enzyme",6,6,0,2.49319673769028,2.97601495937799,16.6520220736121,0.00520929072682878,0.0152256842934885,"Yes","Carbon metabolism","Yes",10
"KfGene026994-RA","MEN","Malic enzyme","Malic enzyme",6,0,6,-2.27529664190427,2.83375963928965,41.4042065591022,7.77406269211568e-08,7.98721809600359e-07,"Yes","Carbon metabolism","Yes",10
"KfGene020112-RA","MEN","Malic enzyme","Malic enzyme",5,4,1,1.98798245257476,4.57778051770862,398.277570798046,6.9741152084831e-84,1.70952999047942e-80,"Yes","Carbon metabolism","Yes",9
"KfGene001627-RA",NA,"Malate dehydrogenase","MDH",5,5,0,1.29784212586466,2.37037090791259,18.7584202531067,0.00213175984781642,0.00711433128245065,"Yes","Carbon metabolism","Yes",9
"KfGene022924-RA",NA,"carbonic anhydrase","Carbonic anhydrase",6,6,0,3.18706821496792,5.57132572820969,21.2849557198064,0.000715537204391275,0.00278185657773848,"Yes",NA,"No",8
"KfGene037909-RA",NA,"phosphoenolpyruvate carboxylase","PEPC",4,0,4,-1.48511641920638,2.70975867082312,50.4732933625074,1.10872437418091e-09,1.61451126071938e-08,"Yes","Carbon metabolism; Other carbon fixation pathways","Yes",8
"KfGene000421-RA","CA2","carbonic anhydrase","Carbonic anhydrase",5,5,0,1.76804154849049,3.70041413960917,58.3551230751284,2.65713101880669e-11,5.01343867339311e-10,"Yes",NA,"No",7
"KfGene000508-RA","CA2","carbonic anhydrase","Carbonic anhydrase",5,5,0,1.74967634637477,3.3948332247069,41.6754005690418,6.85192234126395e-08,7.11183118095551e-07,"Yes",NA,"No",7
"KfGene001359-RA",NA,"Malate dehydrogenase","MDH",3,3,0,1.22591062760769,2.46600719355802,38.3627060735535,3.19026690737161e-07,2.8963487987758e-06,"Yes","Carbon metabolism","Yes",7
"KfGene042382-RA","MDH","Malate dehydrogenase","MDH",3,0,3,-1.08701789121568,1.7800958678988,31.6571922918017,6.94589134736664e-06,4.64348622688158e-05,"Yes","Carbon metabolism","Yes",7
"KfGene029266-RA",NA,"phosphoenolpyruvate carboxylase kinase","PPCK",4,0,4,-2.14562117441297,7.10938277743257,48.3576439768672,3.00221344099183e-09,4.06023486743792e-08,"Yes",NA,"No",6
"KfGene049172-RA",NA,"phosphoenolpyruvate carboxylase kinase","PPCK",4,4,0,3.52687788524635,6.20890387067809,136.56402754775,9.61228253070945e-28,1.2969967460588e-25,"Yes",NA,"No",6
"KfGene052627-RA","PPCK1","phosphoenolpyruvate carboxylase kinase","PPCK",4,2,2,-0.125466113539831,4.00238008467294,84.2033959604737,1.10575079781777e-16,4.46781040079802e-15,"Yes",NA,"No",6
"KfGene034852-RA","CA2","carbonic anhydrase","Carbonic anhydrase",4,4,0,1.91491229469337,2.97179275322636,15.7334484607545,0.00764776511327514,0.0211229118128628,"Yes",NA,"No",6
"KfGene040776-RA",NA,"Malate dehydrogenase","MDH",6,0,6,-1.74493256104796,2.06607510479518,1.94313797611304,0.85695573195466,0.897058820478516,"No",NA,"No",6
"KfGene006698-RA",NA,"Malate dehydrogenase","MDH",6,6,0,1.32626942016694,1.72184093759354,8.65467425440147,0.123656464066773,0.207209461691018,"No",NA,"No",6
"KfGene049262-RA",NA,"phosphoenolpyruvate carboxylase kinase","PPCK",3,3,0,2.84790357513827,5.90674597684114,161.908185177071,3.8799686922297e-33,8.03727317478426e-31,"Yes",NA,"No",5
"KfGene042303-RA","CA2","carbonic anhydrase","Carbonic anhydrase",3,3,0,1.19137928453969,2.48818598794643,99.8939240654228,5.5643390237154e-20,3.22194945635017e-18,"Yes",NA,"No",5
"KfGene042239-RA","CA2","carbonic anhydrase","Carbonic anhydrase",3,3,0,1.00147711416002,1.9866428962113,59.321666302082,1.67832081417519e-11,3.25645163251737e-10,"Yes",NA,"No",5
"KfGene006766-RA",NA,"Malate dehydrogenase","MDH",5,5,0,1.41154997783309,1.89909672336094,11.5207454822377,0.0419787163562711,0.0870622535161613,"No",NA,"No",5
"KfGene009143-RA",NA,"Malic enzyme","Malic enzyme",5,5,0,1.24121567497639,1.75825704625951,10.0178935118986,0.0747298261544122,0.139337020285015,"No",NA,"No",5
"KfGene052604-RA",NA,"Malate dehydrogenase","MDH",1,0,1,-0.585226678788967,1.14310673577714,18.3276080155322,0.00256264157021453,0.0083329760985917,"Yes","Carbon metabolism","Yes",5
"KfGene028164-RA","MMDH","Malate dehydrogenase","MDH",1,0,1,-0.51108258349685,1.11426544660987,42.3536553158474,4.9952809903788e-08,5.33537365039914e-07,"Yes","Carbon metabolism","Yes",5
"KfGene033351-RA","MMDH","Malate dehydrogenase","MDH",1,0,1,-0.564795770257235,1.05212827447731,28.7488705169601,2.59716537618024e-05,0.000150770908901405,"Yes","Carbon metabolism","Yes",5
"KfGene059295-RA","PPCK1","phosphoenolpyruvate carboxylase kinase","PPCK",2,1,1,0.15520535011242,5.43703878669985,35.8304426091237,1.02694399730146e-06,8.3308212025986e-06,"Yes",NA,"No",4
"KfGene034962-RA","CA2","carbonic anhydrase","Carbonic anhydrase",4,4,0,2.00297877970048,4.42705842513886,11.1049300257268,0.0493387672062673,0.0991867029368748,"No",NA,"No",4
"KfGene034850-RA","CA2","carbonic anhydrase","Carbonic anhydrase",4,4,0,2.25329185695657,3.63641069962001,13.0400513330272,0.0230063207116904,0.0531436252343627,"No",NA,"No",4
"KfGene009128-RA",NA,"Malic enzyme","Malic enzyme",4,4,0,1.10229625805823,1.43645457886506,10.3203718508603,0.0666501952856931,0.126984616511993,"No",NA,"No",4
"KfGene039498-RA",NA,"Malic enzyme","Malic enzyme",4,4,0,1.00881152321704,1.39047974605857,13.1541505501114,0.02197624808308,0.0511538606760938,"No",NA,"No",4
"KfGene045078-RA","CAH1","Bifunctional monodehydroascorbate reductase and carbonic anhydrase","Carbonic anhydrase",2,0,2,-0.487191670017496,1.11784945287675,35.3895797376265,1.25792048031562e-06,9.95740875362861e-06,"Yes",NA,"No",4
"KfGene000690-RA","MDH","Malate dehydrogenase","MDH",0,0,0,-0.540869735656526,0.956150364454867,26.4954632240323,7.15072972560356e-05,0.000371033189060908,"Yes","Carbon metabolism","Yes",4
"KfGene028142-RA","MMDH","Malate dehydrogenase","MDH",0,0,0,-0.505651199167113,0.927735784647615,29.5601758754689,1.79994122469468e-05,0.000109233074323074,"Yes","Carbon metabolism","Yes",4
"KfGene048844-RA",NA,"Malate dehydrogenase","MDH",0,0,0,0.0170778452564655,0.826459087220399,21.0124773617751,0.00080567443482618,0.00307938065234045,"Yes","Carbon metabolism","Yes",4
"KfGene048757-RA",NA,"Malate dehydrogenase","MDH",0,0,0,0.00523852790796568,0.638527669248064,14.3199214869333,0.0136999911635846,0.0345234718600281,"Yes","Carbon metabolism","Yes",4
"KfGene006700-RA","PPCK1","phosphoenolpyruvate carboxylase kinase","PPCK",1,1,0,-0.633495411123436,2.93740250248038,22.6902242067736,0.00038683754932273,0.00163629946984873,"Yes",NA,"No",3
"KfGene003253-RA",NA,"carbonic anhydrase","Carbonic anhydrase",1,0,1,-0.329001705564888,2.1161076425316,30.8069497205954,1.0226266780313e-05,6.56632615952206e-05,"Yes",NA,"No",3
"KfGene003198-RA",NA,"carbonic anhydrase","Carbonic anhydrase",1,0,1,-0.353537792461164,2.01709456974249,28.0816493189435,3.50851653260043e-05,0.00019620344830122,"Yes",NA,"No",3
"KfGene042619-RA","MDH","Malate dehydrogenase","MDH",3,0,3,-1.07948655281441,1.86611043307539,8.43523922345571,0.133824091188705,0.220496654912259,"No",NA,"No",3
"KfGene044640-RA",NA,"carbonic anhydrase","Carbonic anhydrase",3,0,3,-0.956766688190949,1.32189896117143,10.9189160977437,0.0530115515433395,0.10527051987413,"No",NA,"No",3
"KfGene039528-RA",NA,"Malic enzyme","Malic enzyme",3,3,0,0.892302795650336,1.11546084341588,7.69409510809419,0.173920020749913,0.26998033723989,"No",NA,"No",3
"KfGene027954-RA",NA,"gamma carbonic anhydrase","Carbonic anhydrase",1,0,1,-0.332320611529187,1.06641131032166,32.5457926664943,4.63146488052294e-06,3.23136953179749e-05,"Yes",NA,"No",3
"KfGene050724-RA",NA,"gamma carbonic anhydrase","Carbonic anhydrase",1,1,0,0.730603914719797,1.05973694496984,14.829467688323,0.0111163978292677,0.0290372828476964,"Yes",NA,"No",3
"KfGene036760-RA",NA,"phosphoenolpyruvate carboxylase kinase","PPCK",2,0,2,-1.85337868225162,3.66804065362827,8.43602810418857,0.133786229310648,0.220469730755966,"No",NA,"No",2
"KfGene022037-RA","MEN","Malic enzyme","Malic enzyme",2,0,2,-0.813529744244936,1.7813704111915,8.59009802157874,0.126573769209802,0.210968235568128,"No",NA,"No",2
"KfGene000743-RA","MDH","Malate dehydrogenase","MDH",2,0,2,-0.613484659768956,1.47693861050898,12.6728514546291,0.0266451891696076,0.0599348657508608,"No",NA,"No",2
"KfGene004468-RA","NADP-MDH","Malate dehydrogenase","MDH",2,2,0,0.914282363298811,1.28066423670619,10.9709641140795,0.0519587285172255,0.103547831933211,"No",NA,"No",2
"KfGene001731-RA",NA,"Malic enzyme","Malic enzyme",2,0,2,-0.843880277102934,1.14966371939621,2.2861514208804,0.808298691833473,0.861297084596327,"No",NA,"No",2
"KfGene004483-RA","NADP-MDH","Malate dehydrogenase","MDH",2,2,0,0.840042102467465,1.08626379013703,4.69407255181073,0.454344181360691,0.56469067033104,"No",NA,"No",2
"KfGene037945-RA",NA,"phosphoenolpyruvate carboxylase","PEPC",1,0,1,-1.54101912707923,3.54691718467843,13.3942884169884,0.0199511307092326,NA,"No",NA,"No",1
"KfGene036811-RA","MEN","Malic enzyme","Malic enzyme",1,1,0,0.352126866044376,1.75100486075873,10.9197511985745,0.0529945017641759,0.105255453706498,"No",NA,"No",1
"KfGene022063-RA","MEN","Malic enzyme","Malic enzyme",1,0,1,-0.700701896893227,1.68102528119741,7.83972138364334,0.165292923111274,0.259463502590495,"No",NA,"No",1
"KfGene036812-RA","MEN","Malic enzyme","Malic enzyme",0,0,0,1.40662954884248,2.91259246780278,0.497391612018461,0.992218490435682,NA,"No",NA,"No",0
"KfGene040808-RA",NA,"Malate dehydrogenase","MDH",0,0,0,-0.154180244502421,2.86711483884647,1.30031644806073,0.934899113440902,NA,"No",NA,"No",0
"KfGene060500-RA","CA2","carbonic anhydrase","Carbonic anhydrase",0,0,0,1.29796166183754,2.72921297731501,0.695625082167886,0.983207917876891,NA,"No",NA,"No",0
"KfGene053591-RA","MEN","Malic enzyme","Malic enzyme",0,0,0,1.0412244796256,2.57008064634177,1.64512826795342,0.895738849635965,NA,"No",NA,"No",0
"KfGene036827-RA","MEN","Malic enzyme","Malic enzyme",0,0,0,0.0255661152694453,1.89228044659023,3.60511419548622,0.607545582326032,NA,"No",NA,"No",0
"KfGene006769-RA","PPCK1","phosphoenolpyruvate carboxylase kinase","PPCK",0,0,0,0.529417032844327,1.62929247560051,2.61392156726457,0.759248936848228,NA,"No",NA,"No",0
"KfGene027970-RA",NA,"gamma carbonic anhydrase","Carbonic anhydrase",0,0,0,-0.13269932809555,1.35062856599547,8.43004380905975,0.134073682615127,0.220717336810162,"No",NA,"No",0
"KfGene043251-RA",NA,"Malic enzyme","Malic enzyme",0,0,0,-0.466848740039455,0.99244344437979,9.31936591206778,0.0969839678174053,0.171225221376206,"No",NA,"No",0
"KfGene000744-RA","MDH","Malate dehydrogenase","MDH",0,0,0,-0.486503405866577,0.947753030641343,11.8845163897445,0.036404898536498,0.077558491377641,"No",NA,"No",0
"KfGene043228-RA",NA,"Malic enzyme","Malic enzyme",0,0,0,-0.383895442067204,0.817777392027576,9.1201025495817,0.104368501571951,0.181270634963329,"No",NA,"No",0
"KfGene006082-RA",NA,"gamma carbonic anhydrase","Carbonic anhydrase",0,0,0,-0.600237777928676,0.766540852700694,3.75057739948915,0.58585561225286,0.682249607443599,"No",NA,"No",0
"KfGene006088-RA",NA,"gamma carbonic anhydrase","Carbonic anhydrase",0,0,0,-0.265327053067753,0.453642353564554,3.31502320350131,0.651542434191625,0.737306000523922,"No",NA,"No",0
