"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Timepoint","Direction"
"03010","03010","236/1364","590/10648",0.4,3.12258064516129,20.3323527735736,1.75729501666759e-66,6.02752190716982e-64,5.32737857684489e-64,"KfGene000197-RA/KfGene000220-RA/KfGene000730-RA/KfGene000954-RA/KfGene001272-RA/KfGene001568-RA/KfGene001709-RA/KfGene001992-RA/KfGene002062-RA/KfGene002794-RA/KfGene002813-RA/KfGene002863-RA/KfGene002897-RA/KfGene002901-RA/KfGene003076-RA/KfGene003154-RA/KfGene003380-RA/KfGene003898-RA/KfGene003971-RA/KfGene004067-RA/KfGene004297-RA/KfGene004789-RA/KfGene005528-RA/KfGene006083-RA/KfGene006089-RA/KfGene006306-RA/KfGene006387-RA/KfGene006593-RA/KfGene006707-RA/KfGene006791-RA/KfGene006799-RA/KfGene006805-RA/KfGene006814-RA/KfGene006860-RA/KfGene007089-RA/KfGene007116-RA/KfGene007247-RA/KfGene007683-RA/KfGene007988-RA/KfGene008282-RA/KfGene008417-RA/KfGene008878-RA/KfGene009439-RA/KfGene010086-RA/KfGene010099-RA/KfGene010846-RA/KfGene011024-RA/KfGene011112-RA/KfGene011296-RA/KfGene011545-RA/KfGene011572-RA/KfGene011607-RA/KfGene012950-RA/KfGene013404-RA/KfGene013416-RA/KfGene013532-RA/KfGene013646-RA/KfGene013788-RA/KfGene013871-RA/KfGene014216-RA/KfGene014342-RA/KfGene016525-RA/KfGene016917-RA/KfGene017226-RA/KfGene017310-RA/KfGene017348-RA/KfGene017600-RA/KfGene018030-RA/KfGene018098-RA/KfGene018114-RA/KfGene018186-RA/KfGene018295-RA/KfGene018957-RA/KfGene019057-RA/KfGene019347-RA/KfGene019420-RA/KfGene019512-RA/KfGene019924-RA/KfGene020093-RA/KfGene020122-RA/KfGene020569-RA/KfGene020575-RA/KfGene020627-RA/KfGene020806-RA/KfGene021225-RA/KfGene021369-RA/KfGene021420-RA/KfGene022408-RA/KfGene022477-RA/KfGene022492-RA/KfGene022587-RA/KfGene022931-RA/KfGene024725-RA/KfGene024764-RA/KfGene026189-RA/KfGene026516-RA/KfGene027090-RA/KfGene027094-RA/KfGene027106-RA/KfGene027118-RA/KfGene027366-RA/KfGene027367-RA/KfGene027374-RA/KfGene027777-RA/KfGene027811-RA/KfGene027997-RA/KfGene028251-RA/KfGene028380-RA/KfGene029093-RA/KfGene029222-RA/KfGene029660-RA/KfGene029700-RA/KfGene029732-RA/KfGene029790-RA/KfGene029971-RA/KfGene030027-RA/KfGene030059-RA/KfGene030190-RA/KfGene030484-RA/KfGene030752-RA/KfGene031018-RA/KfGene031032-RA/KfGene031541-RA/KfGene031739-RA/KfGene031757-RA/KfGene031768-RA/KfGene031771-RA/KfGene031786-RA/KfGene031854-RA/KfGene032138-RA/KfGene032382-RA/KfGene032505-RA/KfGene032564-RA/KfGene033251-RA/KfGene033580-RA/KfGene033590-RA/KfGene034572-RA/KfGene034640-RA/KfGene034682-RA/KfGene034727-RA/KfGene034729-RA/KfGene035450-RA/KfGene035523-RA/KfGene035551-RA/KfGene036051-RA/KfGene036291-RA/KfGene036387-RA/KfGene036784-RA/KfGene037507-RA/KfGene037539-RA/KfGene037543-RA/KfGene037959-RA/KfGene038469-RA/KfGene038496-RA/KfGene038568-RA/KfGene039497-RA/KfGene039712-RA/KfGene039737-RA/KfGene039834-RA/KfGene039852-RA/KfGene040478-RA/KfGene040881-RA/KfGene041036-RA/KfGene041163-RA/KfGene042334-RA/KfGene042392-RA/KfGene042449-RA/KfGene042608-RA/KfGene043063-RA/KfGene043073-RA/KfGene043238-RA/KfGene043256-RA/KfGene043499-RA/KfGene043578-RA/KfGene043738-RA/KfGene044403-RA/KfGene044495-RA/KfGene044814-RA/KfGene044841-RA/KfGene045157-RA/KfGene045384-RA/KfGene045388-RA/KfGene045397-RA/KfGene045400-RA/KfGene045730-RA/KfGene045772-RA/KfGene045797-RA/KfGene045813-RA/KfGene045862-RA/KfGene045935-RA/KfGene046609-RA/KfGene046629-RA/KfGene046686-RA/KfGene046696-RA/KfGene047090-RA/KfGene048376-RA/KfGene048386-RA/KfGene048400-RA/KfGene048410-RA/KfGene048958-RA/KfGene048982-RA/KfGene049531-RA/KfGene049562-RA/KfGene049672-RA/KfGene049735-RA/KfGene049806-RA/KfGene049994-RA/KfGene050025-RA/KfGene050346-RA/KfGene050449-RA/KfGene050542-RA/KfGene050573-RA/KfGene050709-RA/KfGene050711-RA/KfGene051231-RA/KfGene051799-RA/KfGene051972-RA/KfGene052143-RA/KfGene052551-RA/KfGene052925-RA/KfGene052935-RA/KfGene053775-RA/KfGene053989-RA/KfGene054045-RA/KfGene054114-RA/KfGene054146-RA/KfGene054199-RA/KfGene054357-RA/KfGene054850-RA/KfGene054901-RA/KfGene054991-RA/KfGene055374-RA/KfGene055437-RA/KfGene055516-RA/KfGene055613-RA/KfGene059354-RA",236,"02","Higher_in_LP1_C3"
"03030","03030","41/1364","111/10648",0.369369369369369,2.88346410927056,7.6456355878939,7.50966721235348e-11,1.28790792691862e-08,1.13830745113569e-08,"KfGene004970-RA/KfGene006562-RA/KfGene006611-RA/KfGene006612-RA/KfGene008508-RA/KfGene008722-RA/KfGene008995-RA/KfGene010122-RA/KfGene014902-RA/KfGene015825-RA/KfGene015862-RA/KfGene017077-RA/KfGene017090-RA/KfGene018714-RA/KfGene021115-RA/KfGene021158-RA/KfGene021160-RA/KfGene021167-RA/KfGene022572-RA/KfGene023663-RA/KfGene028941-RA/KfGene029335-RA/KfGene033294-RA/KfGene036381-RA/KfGene039085-RA/KfGene039251-RA/KfGene039863-RA/KfGene041100-RA/KfGene041240-RA/KfGene042349-RA/KfGene042652-RA/KfGene042973-RA/KfGene042989-RA/KfGene045051-RA/KfGene048033-RA/KfGene048036-RA/KfGene048486-RA/KfGene050201-RA/KfGene052785-RA/KfGene052807-RA/KfGene054082-RA",41,"02","Higher_in_LP1_C3"
"04110","04110","70/1364","255/10648",0.274509803921569,2.14294750158128,7.08074827959748,1.95919434610211e-10,2.24001220237674e-08,1.97981744448213e-08,"KfGene000610-RA/KfGene000612-RA/KfGene000720-RA/KfGene001027-RA/KfGene001774-RA/KfGene003185-RA/KfGene003218-RA/KfGene003763-RA/KfGene004025-RA/KfGene008722-RA/KfGene008995-RA/KfGene009260-RA/KfGene009351-RA/KfGene009413-RA/KfGene009582-RA/KfGene009782-RA/KfGene009783-RA/KfGene009824-RA/KfGene010122-RA/KfGene012611-RA/KfGene015679-RA/KfGene018232-RA/KfGene018422-RA/KfGene018714-RA/KfGene020597-RA/KfGene021528-RA/KfGene021540-RA/KfGene022126-RA/KfGene022572-RA/KfGene023663-RA/KfGene024772-RA/KfGene025063-RA/KfGene025545-RA/KfGene029947-RA/KfGene029965-RA/KfGene030147-RA/KfGene030168-RA/KfGene031742-RA/KfGene032111-RA/KfGene032278-RA/KfGene036381-RA/KfGene037598-RA/KfGene037617-RA/KfGene039085-RA/KfGene039251-RA/KfGene040073-RA/KfGene040078-RA/KfGene040210-RA/KfGene040252-RA/KfGene040887-RA/KfGene040967-RA/KfGene040968-RA/KfGene041100-RA/KfGene041240-RA/KfGene041949-RA/KfGene042350-RA/KfGene043790-RA/KfGene043842-RA/KfGene044511-RA/KfGene044882-RA/KfGene045000-RA/KfGene045404-RA/KfGene045434-RA/KfGene045748-RA/KfGene045788-RA/KfGene047514-RA/KfGene048033-RA/KfGene048036-RA/KfGene053482-RA/KfGene053879-RA",70,"02","Higher_in_LP1_C3"
"04914","04914","39/1364","120/10648",0.325,2.53709677419355,6.4904101528541,1.49262998552305e-08,1.05092424197458e-06,9.288512557578e-07,"KfGene000610-RA/KfGene000612-RA/KfGene000720-RA/KfGene001027-RA/KfGene003218-RA/KfGene003763-RA/KfGene009413-RA/KfGene009582-RA/KfGene009782-RA/KfGene009783-RA/KfGene009824-RA/KfGene012611-RA/KfGene018232-RA/KfGene019130-RA/KfGene021930-RA/KfGene022126-RA/KfGene024772-RA/KfGene025063-RA/KfGene029651-RA/KfGene030147-RA/KfGene030168-RA/KfGene030503-RA/KfGene032111-RA/KfGene032278-RA/KfGene037598-RA/KfGene037617-RA/KfGene040210-RA/KfGene041707-RA/KfGene041887-RA/KfGene042350-RA/KfGene042872-RA/KfGene042896-RA/KfGene043790-RA/KfGene043842-RA/KfGene044511-RA/KfGene045000-RA/KfGene047514-RA/KfGene050656-RA/KfGene053879-RA",39,"02","Higher_in_LP1_C3"
"00941","00941","26/1364","63/10648",0.412698412698413,3.22171018945212,6.77899785814797,1.53195953640609e-08,1.05092424197458e-06,9.288512557578e-07,"KfGene006133-RA/KfGene010175-RA/KfGene010299-RA/KfGene010691-RA/KfGene010692-RA/KfGene011462-RA/KfGene019198-RA/KfGene019871-RA/KfGene020276-RA/KfGene020280-RA/KfGene020621-RA/KfGene025344-RA/KfGene030037-RA/KfGene030047-RA/KfGene032103-RA/KfGene032287-RA/KfGene033090-RA/KfGene033905-RA/KfGene035141-RA/KfGene046658-RA/KfGene046976-RA/KfGene046977-RA/KfGene046984-RA/KfGene048627-RA/KfGene048628-RA/KfGene048670-RA",26,"02","Higher_in_LP1_C3"
"04111","04111","53/1364","198/10648",0.267676767676768,2.08960573476703,5.93194446559849,7.94747321500781e-08,4.54330552124613e-06,4.01556541389868e-06,"KfGene000610-RA/KfGene000612-RA/KfGene000720-RA/KfGene003762-RA/KfGene003780-RA/KfGene004025-RA/KfGene005013-RA/KfGene008722-RA/KfGene008995-RA/KfGene009260-RA/KfGene009351-RA/KfGene009782-RA/KfGene009783-RA/KfGene009824-RA/KfGene010122-RA/KfGene012611-RA/KfGene015679-RA/KfGene018232-RA/KfGene018422-RA/KfGene019707-RA/KfGene019720-RA/KfGene021528-RA/KfGene021540-RA/KfGene021847-RA/KfGene023663-RA/KfGene027449-RA/KfGene027459-RA/KfGene028216-RA/KfGene029947-RA/KfGene029965-RA/KfGene030147-RA/KfGene030168-RA/KfGene031742-RA/KfGene036381-RA/KfGene039085-RA/KfGene039251-RA/KfGene040073-RA/KfGene040078-RA/KfGene040252-RA/KfGene041100-RA/KfGene041240-RA/KfGene042350-RA/KfGene042542-RA/KfGene044882-RA/KfGene045158-RA/KfGene045248-RA/KfGene045404-RA/KfGene045434-RA/KfGene045748-RA/KfGene045788-RA/KfGene048033-RA/KfGene048036-RA/KfGene053482-RA",53,"02","Higher_in_LP1_C3"
"05034","05034","43/1364","151/10648",0.28476821192053,2.22302926725059,5.80157580503101,2.06646175924356e-07,1.01256626202934e-05,8.94948852123527e-06,"KfGene002262-RA/KfGene002263-RA/KfGene004582-RA/KfGene005201-RA/KfGene006906-RA/KfGene006954-RA/KfGene008859-RA/KfGene013908-RA/KfGene014409-RA/KfGene014499-RA/KfGene016112-RA/KfGene016113-RA/KfGene017302-RA/KfGene017303-RA/KfGene017304-RA/KfGene017355-RA/KfGene017357-RA/KfGene017361-RA/KfGene019130-RA/KfGene019179-RA/KfGene019230-RA/KfGene021930-RA/KfGene022478-RA/KfGene022479-RA/KfGene022586-RA/KfGene028203-RA/KfGene028552-RA/KfGene029651-RA/KfGene031054-RA/KfGene033120-RA/KfGene033315-RA/KfGene040548-RA/KfGene040561-RA/KfGene040887-RA/KfGene040967-RA/KfGene040968-RA/KfGene041707-RA/KfGene042872-RA/KfGene042896-RA/KfGene046635-RA/KfGene049713-RA/KfGene050656-RA/KfGene054679-RA",43,"02","Higher_in_LP1_C3"
"00100","00100","20/1364","51/10648",0.392156862745098,3.06135357368754,5.65586920634492,1.84886031142523e-06,7.92698858523568e-05,7.0062074959272e-05,"KfGene020623-RA/KfGene020624-RA/KfGene024338-RA/KfGene024342-RA/KfGene028477-RA/KfGene028478-RA/KfGene028488-RA/KfGene028489-RA/KfGene028702-RA/KfGene028725-RA/KfGene030384-RA/KfGene030385-RA/KfGene030425-RA/KfGene031491-RA/KfGene035708-RA/KfGene037177-RA/KfGene048539-RA/KfGene048581-RA/KfGene053560-RA/KfGene055543-RA",20,"02","Higher_in_LP1_C3"
"03440","03440","34/1364","121/10648",0.28099173553719,2.19354838709677,5.06096868648378,5.26585653510778e-06,0.000200687643504663,0.000177376220129946,"KfGene001737-RA/KfGene001756-RA/KfGene001757-RA/KfGene001811-RA/KfGene008104-RA/KfGene008508-RA/KfGene010824-RA/KfGene010849-RA/KfGene012956-RA/KfGene014215-RA/KfGene014227-RA/KfGene014902-RA/KfGene015825-RA/KfGene015862-RA/KfGene017077-RA/KfGene017090-RA/KfGene018623-RA/KfGene018631-RA/KfGene028941-RA/KfGene033294-RA/KfGene036928-RA/KfGene040161-RA/KfGene040188-RA/KfGene043182-RA/KfGene044027-RA/KfGene044386-RA/KfGene044420-RA/KfGene045051-RA/KfGene045710-RA/KfGene048347-RA/KfGene049660-RA/KfGene051378-RA/KfGene051388-RA/KfGene053315-RA",34,"02","Higher_in_LP1_C3"
"04113","04113","38/1364","146/10648",0.26027397260274,2.03181617322139,4.811671814863,1.09381105061871e-05,0.000375177190362217,0.000331597455345461,"KfGene000610-RA/KfGene000612-RA/KfGene000720-RA/KfGene002368-RA/KfGene002388-RA/KfGene004025-RA/KfGene006913-RA/KfGene008722-RA/KfGene008995-RA/KfGene009782-RA/KfGene009783-RA/KfGene009824-RA/KfGene010122-RA/KfGene012611-RA/KfGene018232-RA/KfGene018422-RA/KfGene021528-RA/KfGene021540-RA/KfGene023663-RA/KfGene026195-RA/KfGene028266-RA/KfGene029947-RA/KfGene029965-RA/KfGene031742-RA/KfGene036381-RA/KfGene039085-RA/KfGene039251-RA/KfGene040252-RA/KfGene041100-RA/KfGene041240-RA/KfGene042350-RA/KfGene044882-RA/KfGene045404-RA/KfGene045434-RA/KfGene045748-RA/KfGene045788-RA/KfGene048033-RA/KfGene048036-RA",38,"02","Higher_in_LP1_C3"
