"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Timepoint","Direction"
"02026","02026","19/1240","26/10648",0.730769230769231,6.27518610421836,9.77680890105588,4.68542318221565e-13,1.08800793404195e-10,7.62414174923981e-11,"KfGene000193-RA/KfGene001559-RA/KfGene001686-RA/KfGene007997-RA/KfGene009470-RA/KfGene018719-RA/KfGene028412-RA/KfGene028416-RA/KfGene031809-RA/KfGene031903-RA/KfGene033036-RA/KfGene048785-RA/KfGene048937-RA/KfGene051889-RA/KfGene051959-RA/KfGene055241-RA/KfGene055382-RA/KfGene060271-RA/KfGene060509-RA",19,"18","Higher_in_LP6_CAM"
"00500","00500","71/1240","255/10648",0.27843137254902,2.39091714104997,8.16162621308025,7.59531044064145e-13,1.08800793404195e-10,7.62414174923981e-11,"KfGene000193-RA/KfGene001270-RA/KfGene001559-RA/KfGene001686-RA/KfGene001749-RA/KfGene001766-RA/KfGene003386-RA/KfGene004115-RA/KfGene006297-RA/KfGene006397-RA/KfGene006440-RA/KfGene006538-RA/KfGene007997-RA/KfGene009235-RA/KfGene009285-RA/KfGene009369-RA/KfGene009470-RA/KfGene010810-RA/KfGene011007-RA/KfGene011797-RA/KfGene011801-RA/KfGene015584-RA/KfGene015592-RA/KfGene018719-RA/KfGene023519-RA/KfGene023525-RA/KfGene024907-RA/KfGene024952-RA/KfGene025116-RA/KfGene027745-RA/KfGene027894-RA/KfGene028412-RA/KfGene028416-RA/KfGene028446-RA/KfGene031031-RA/KfGene031809-RA/KfGene031903-RA/KfGene032190-RA/KfGene032887-RA/KfGene032975-RA/KfGene033036-RA/KfGene033330-RA/KfGene033403-RA/KfGene033812-RA/KfGene036809-RA/KfGene039483-RA/KfGene039509-RA/KfGene039556-RA/KfGene039557-RA/KfGene039584-RA/KfGene040238-RA/KfGene042196-RA/KfGene045745-RA/KfGene045784-RA/KfGene045856-RA/KfGene046110-RA/KfGene046111-RA/KfGene046240-RA/KfGene048024-RA/KfGene048785-RA/KfGene048937-RA/KfGene051889-RA/KfGene051959-RA/KfGene054765-RA/KfGene054842-RA/KfGene055241-RA/KfGene055382-RA/KfGene058959-RA/KfGene060141-RA/KfGene060271-RA/KfGene060509-RA",71,"18","Higher_in_LP6_CAM"
"04727","04727","32/1240","70/10648",0.457142857142857,3.92552995391705,8.91512841154311,9.4064086516595e-13,1.08800793404195e-10,7.62414174923981e-11,"KfGene000252-RA/KfGene000486-RA/KfGene008566-RA/KfGene012027-RA/KfGene012048-RA/KfGene017155-RA/KfGene020856-RA/KfGene021918-RA/KfGene028227-RA/KfGene028306-RA/KfGene028930-RA/KfGene030855-RA/KfGene038925-RA/KfGene038927-RA/KfGene038991-RA/KfGene038993-RA/KfGene043053-RA/KfGene043054-RA/KfGene043055-RA/KfGene043056-RA/KfGene043058-RA/KfGene043061-RA/KfGene043637-RA/KfGene044213-RA/KfGene046242-RA/KfGene046260-RA/KfGene054462-RA/KfGene054502-RA/KfGene055049-RA/KfGene055091-RA/KfGene057760-RA/KfGene059628-RA",32,"18","Higher_in_LP6_CAM"
"05152","05152","82/1240","351/10648",0.233618233618234,2.00610238029593,6.9585090049426,2.62014338671924e-10,2.27297438797894e-08,1.59277137455828e-08,"KfGene003351-RA/KfGene003366-RA/KfGene004285-RA/KfGene004770-RA/KfGene004771-RA/KfGene005588-RA/KfGene006105-RA/KfGene006174-RA/KfGene006623-RA/KfGene006625-RA/KfGene008114-RA/KfGene008115-RA/KfGene008123-RA/KfGene008153-RA/KfGene012217-RA/KfGene012269-RA/KfGene013080-RA/KfGene016767-RA/KfGene018215-RA/KfGene020038-RA/KfGene021739-RA/KfGene022175-RA/KfGene022182-RA/KfGene022187-RA/KfGene022188-RA/KfGene022197-RA/KfGene022198-RA/KfGene022201-RA/KfGene022206-RA/KfGene022207-RA/KfGene022210-RA/KfGene022219-RA/KfGene022220-RA/KfGene022238-RA/KfGene022241-RA/KfGene022247-RA/KfGene022257-RA/KfGene022263-RA/KfGene022264-RA/KfGene022267-RA/KfGene022268-RA/KfGene022306-RA/KfGene022307-RA/KfGene022392-RA/KfGene023296-RA/KfGene023334-RA/KfGene026082-RA/KfGene026110-RA/KfGene026390-RA/KfGene026422-RA/KfGene031702-RA/KfGene031901-RA/KfGene033969-RA/KfGene034004-RA/KfGene034883-RA/KfGene035714-RA/KfGene038762-RA/KfGene038831-RA/KfGene041090-RA/KfGene041175-RA/KfGene043637-RA/KfGene044102-RA/KfGene044125-RA/KfGene044147-RA/KfGene044780-RA/KfGene045429-RA/KfGene045430-RA/KfGene045477-RA/KfGene048517-RA/KfGene049715-RA/KfGene050461-RA/KfGene050559-RA/KfGene051148-RA/KfGene051672-RA/KfGene051728-RA/KfGene051901-RA/KfGene052086-RA/KfGene052284-RA/KfGene052306-RA/KfGene053549-RA/KfGene053555-RA/KfGene059975-RA",82,"18","Higher_in_LP6_CAM"
"05120","05120","32/1240","89/10648",0.359550561797753,3.08749546937296,7.17934734016986,1.82357870255354e-09,1.06001338050145e-07,7.42797181543561e-08,"KfGene003351-RA/KfGene003366-RA/KfGene008502-RA/KfGene016341-RA/KfGene016375-RA/KfGene020047-RA/KfGene020079-RA/KfGene022175-RA/KfGene022906-RA/KfGene022936-RA/KfGene027825-RA/KfGene031702-RA/KfGene032347-RA/KfGene041090-RA/KfGene041175-RA/KfGene042552-RA/KfGene043637-RA/KfGene043961-RA/KfGene043981-RA/KfGene044102-RA/KfGene044125-RA/KfGene044147-RA/KfGene044780-RA/KfGene045429-RA/KfGene045430-RA/KfGene045477-RA/KfGene045519-RA/KfGene051861-RA/KfGene053549-RA/KfGene053555-RA/KfGene053705-RA/KfGene053718-RA",32,"18","Higher_in_LP6_CAM"
"05323","05323","30/1240","80/10648",0.375,3.22016129032258,7.23617285660206,1.83287616225035e-09,1.06001338050145e-07,7.42797181543561e-08,"KfGene003351-RA/KfGene003366-RA/KfGene008502-RA/KfGene016341-RA/KfGene016375-RA/KfGene020047-RA/KfGene020079-RA/KfGene022175-RA/KfGene022906-RA/KfGene022936-RA/KfGene027825-RA/KfGene031702-RA/KfGene032347-RA/KfGene041090-RA/KfGene041175-RA/KfGene043637-RA/KfGene043981-RA/KfGene044102-RA/KfGene044125-RA/KfGene044147-RA/KfGene044780-RA/KfGene045429-RA/KfGene045430-RA/KfGene045477-RA/KfGene045519-RA/KfGene051861-RA/KfGene053549-RA/KfGene053555-RA/KfGene053705-RA/KfGene053718-RA",30,"18","Higher_in_LP6_CAM"
"01120","01120","136/1240","718/10648",0.18941504178273,1.62652529427622,6.31105583223452,2.45155859519277e-09,1.2152726179027e-07,8.51594038330119e-08,"KfGene000528-RA/KfGene001627-RA/KfGene001749-RA/KfGene001766-RA/KfGene002788-RA/KfGene002819-RA/KfGene003021-RA/KfGene004042-RA/KfGene004175-RA/KfGene006301-RA/KfGene006401-RA/KfGene006698-RA/KfGene006766-RA/KfGene007051-RA/KfGene008398-RA/KfGene008566-RA/KfGene008828-RA/KfGene008831-RA/KfGene008849-RA/KfGene009024-RA/KfGene009049-RA/KfGene009128-RA/KfGene009143-RA/KfGene009285-RA/KfGene009369-RA/KfGene009453-RA/KfGene010020-RA/KfGene010114-RA/KfGene010169-RA/KfGene010774-RA/KfGene010810-RA/KfGene013553-RA/KfGene015698-RA/KfGene015719-RA/KfGene015806-RA/KfGene015821-RA/KfGene016319-RA/KfGene017666-RA/KfGene017888-RA/KfGene018071-RA/KfGene018137-RA/KfGene018994-RA/KfGene020112-RA/KfGene020283-RA/KfGene020932-RA/KfGene021079-RA/KfGene021281-RA/KfGene021282-RA/KfGene021654-RA/KfGene022097-RA/KfGene022843-RA/KfGene023457-RA/KfGene023519-RA/KfGene023525-RA/KfGene023571-RA/KfGene023587-RA/KfGene023641-RA/KfGene023695-RA/KfGene023703-RA/KfGene024042-RA/KfGene024063-RA/KfGene024129-RA/KfGene024402-RA/KfGene024487-RA/KfGene024519-RA/KfGene024638-RA/KfGene024907-RA/KfGene024952-RA/KfGene025521-RA/KfGene026920-RA/KfGene026928-RA/KfGene027158-RA/KfGene027835-RA/KfGene028065-RA/KfGene028075-RA/KfGene028229-RA/KfGene028309-RA/KfGene029112-RA/KfGene029263-RA/KfGene030591-RA/KfGene031781-RA/KfGene032480-RA/KfGene032975-RA/KfGene033170-RA/KfGene033283-RA/KfGene033355-RA/KfGene033377-RA/KfGene033570-RA/KfGene035532-RA/KfGene036265-RA/KfGene036341-RA/KfGene036395-RA/KfGene036761-RA/KfGene036809-RA/KfGene036818-RA/KfGene038178-RA/KfGene038671-RA/KfGene038925-RA/KfGene038927-RA/KfGene038991-RA/KfGene038993-RA/KfGene039491-RA/KfGene039498-RA/KfGene039550-RA/KfGene039917-RA/KfGene039949-RA/KfGene040291-RA/KfGene040306-RA/KfGene041095-RA/KfGene042251-RA/KfGene042276-RA/KfGene042550-RA/KfGene042705-RA/KfGene043127-RA/KfGene043294-RA/KfGene043724-RA/KfGene043780-RA/KfGene044109-RA/KfGene044395-RA/KfGene044411-RA/KfGene045745-RA/KfGene045784-RA/KfGene046242-RA/KfGene046260-RA/KfGene046355-RA/KfGene048527-RA/KfGene050340-RA/KfGene050847-RA/KfGene050914-RA/KfGene053059-RA/KfGene057760-RA/KfGene058959-RA/KfGene059628-RA/KfGene060141-RA/KfGene061012-RA/KfGene061158-RA",136,"18","Higher_in_LP6_CAM"
"04966","04966","25/1240","61/10648",0.40983606557377,3.5193019566367,7.16365232820374,4.86343123578826e-09,2.10951329852316e-07,1.47822712561459e-07,"KfGene003351-RA/KfGene003366-RA/KfGene008502-RA/KfGene016341-RA/KfGene016375-RA/KfGene020047-RA/KfGene020079-RA/KfGene022906-RA/KfGene022936-RA/KfGene027825-RA/KfGene032347-RA/KfGene041090-RA/KfGene041175-RA/KfGene043637-RA/KfGene043981-RA/KfGene044102-RA/KfGene044125-RA/KfGene044147-RA/KfGene044780-RA/KfGene045519-RA/KfGene051861-RA/KfGene053549-RA/KfGene053555-RA/KfGene053705-RA/KfGene053718-RA",25,"18","Higher_in_LP6_CAM"
"00710","00710","40/1240","132/10648",0.303030303030303,2.60215053763441,6.72420293675628,5.90487297582281e-09,2.27665658067835e-07,1.5953516460995e-07,"KfGene000528-RA/KfGene001627-RA/KfGene002788-RA/KfGene002819-RA/KfGene004175-RA/KfGene006301-RA/KfGene006401-RA/KfGene006698-RA/KfGene006766-RA/KfGene007051-RA/KfGene008398-RA/KfGene009128-RA/KfGene009143-RA/KfGene010114-RA/KfGene015698-RA/KfGene015719-RA/KfGene015806-RA/KfGene015821-RA/KfGene017666-RA/KfGene020112-RA/KfGene020932-RA/KfGene022097-RA/KfGene023571-RA/KfGene023587-RA/KfGene023695-RA/KfGene023703-RA/KfGene024487-RA/KfGene024519-RA/KfGene033355-RA/KfGene036265-RA/KfGene039491-RA/KfGene039498-RA/KfGene041095-RA/KfGene042251-RA/KfGene042276-RA/KfGene044109-RA/KfGene046355-RA/KfGene048527-RA/KfGene061012-RA/KfGene061158-RA",40,"18","Higher_in_LP6_CAM"
"00521","00521","17/1240","32/10648",0.53125,4.56189516129032,7.32573968121195,1.22282669086218e-08,4.24320861729177e-07,2.97339963778067e-07,"KfGene003514-RA/KfGene003515-RA/KfGene005309-RA/KfGene010810-RA/KfGene020107-RA/KfGene023519-RA/KfGene023525-RA/KfGene024907-RA/KfGene024952-RA/KfGene025824-RA/KfGene028048-RA/KfGene028055-RA/KfGene032975-RA/KfGene033395-RA/KfGene036809-RA/KfGene058959-RA/KfGene060141-RA",17,"18","Higher_in_LP6_CAM"
