"ID","Pathway_Name","GeneID","p.adjust","Gene_Name","Description","KO","CAM_Function"
"01200","Carbon metabolism","KfGene000690-RA",1.50169419563927e-06,"MDH","Malate dehydrogenase","K00026","MDH"
"01200","Carbon metabolism","KfGene001359-RA",1.50169419563927e-06,NA,"Malate dehydrogenase","K00026","MDH"
"01200","Carbon metabolism","KfGene001627-RA",1.50169419563927e-06,NA,"Malate dehydrogenase","K00026","MDH"
"01200","Carbon metabolism","KfGene008398-RA",1.50169419563927e-06,"MDH","Malate dehydrogenase","K00026","MDH"
"01200","Carbon metabolism","KfGene028142-RA",1.50169419563927e-06,"MMDH","Malate dehydrogenase","K00026","MDH"
"01200","Carbon metabolism","KfGene028164-RA",1.50169419563927e-06,"MMDH","Malate dehydrogenase","K00026","MDH"
"01200","Carbon metabolism","KfGene033351-RA",1.50169419563927e-06,"MMDH","Malate dehydrogenase","K00026","MDH"
"01200","Carbon metabolism","KfGene042382-RA",1.50169419563927e-06,"MDH","Malate dehydrogenase","K00026","MDH"
"01200","Carbon metabolism","KfGene048757-RA",1.50169419563927e-06,NA,"Malate dehydrogenase","K00026","MDH"
"01200","Carbon metabolism","KfGene048844-RA",1.50169419563927e-06,NA,"Malate dehydrogenase","K00026","MDH"
"01200","Carbon metabolism","KfGene052604-RA",1.50169419563927e-06,NA,"Malate dehydrogenase","K00025","MDH"
"01200","Carbon metabolism","KfGene002788-RA",1.50169419563927e-06,NA,"Malic enzyme","K00028","Malic enzyme"
"01200","Carbon metabolism","KfGene002819-RA",1.50169419563927e-06,NA,"Malic enzyme","K00028","Malic enzyme"
"01200","Carbon metabolism","KfGene020112-RA",1.50169419563927e-06,"MEN","Malic enzyme","K00029","Malic enzyme"
"01200","Carbon metabolism","KfGene026994-RA",1.50169419563927e-06,"MEN","Malic enzyme","K00029","Malic enzyme"
"01200","Carbon metabolism","KfGene037909-RA",1.50169419563927e-06,NA,"phosphoenolpyruvate carboxylase","K01595","PEPC"
"00720","Other carbon fixation pathways","KfGene037909-RA",0.0179877164837187,NA,"phosphoenolpyruvate carboxylase","K01595","PEPC"
"01200","Carbon metabolism","KfGene007051-RA",1.50169419563927e-06,"PPDK","Pyruvate phosphate dikinase","K01006","PPDK"
"00720","Other carbon fixation pathways","KfGene007051-RA",0.0179877164837187,"PPDK","Pyruvate phosphate dikinase","K01006","PPDK"
