"ID","Pathway_Name","GeneID","p.adjust","Gene_Name","Description","KO"
"01200","Carbon metabolism","KfGene000054-RA",1.50169419563927e-06,NA,"fructose-bisphosphate aldolase","K01623"
"01200","Carbon metabolism","KfGene000095-RA",1.50169419563927e-06,NA,"Pyruvate dehydrogenase","K00627"
"01200","Carbon metabolism","KfGene000146-RA",1.50169419563927e-06,"GND","Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH (By similarity)","K00033"
"01200","Carbon metabolism","KfGene000528-RA",1.50169419563927e-06,"AOAT2","alanine aminotransferase","K14272"
"01200","Carbon metabolism","KfGene000690-RA",1.50169419563927e-06,"MDH","Malate dehydrogenase","K00026"
"01200","Carbon metabolism","KfGene001017-RA",1.50169419563927e-06,"ADH5","alcohol dehydrogenase","K00121,K13951,K13952"
"01200","Carbon metabolism","KfGene001030-RA",1.50169419563927e-06,"CAT1","Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide (By similarity)","K03781"
"01200","Carbon metabolism","KfGene001106-RA",1.50169419563927e-06,"CAT1","Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide (By similarity)","K03781"
"01200","Carbon metabolism","KfGene001359-RA",1.50169419563927e-06,NA,"Malate dehydrogenase","K00026"
"01200","Carbon metabolism","KfGene001619-RA",1.50169419563927e-06,NA,"Fructose-1,6-bisphosphatase","K03841"
"01200","Carbon metabolism","KfGene001627-RA",1.50169419563927e-06,NA,"Malate dehydrogenase","K00026"
"01200","Carbon metabolism","KfGene001653-RA",1.50169419563927e-06,NA,"Dehydrogenase","K00058"
"01200","Carbon metabolism","KfGene002299-RA",1.50169419563927e-06,NA,"biotin carboxyl carrier protein of acetyl-CoA carboxylase","K02160"
"01200","Carbon metabolism","KfGene002366-RA",1.50169419563927e-06,NA,"3-hydroxyisobutyryl-CoA hydrolase","K05605"
"01200","Carbon metabolism","KfGene002386-RA",1.50169419563927e-06,NA,"3-hydroxyisobutyryl-CoA hydrolase","K05605"
"01200","Carbon metabolism","KfGene002788-RA",1.50169419563927e-06,NA,"Malic enzyme","K00028"
"01200","Carbon metabolism","KfGene002819-RA",1.50169419563927e-06,NA,"Malic enzyme","K00028"
"01200","Carbon metabolism","KfGene002864-RA",1.50169419563927e-06,NA,"Dehydrogenase","K15919"
"01200","Carbon metabolism","KfGene002870-RA",1.50169419563927e-06,NA,"Transketolase","K00615"
"01200","Carbon metabolism","KfGene003007-RA",1.50169419563927e-06,"HXK1","hexokinase","K00844"
"01200","Carbon metabolism","KfGene003012-RA",1.50169419563927e-06,"HXK1","hexokinase","K00844"
"01200","Carbon metabolism","KfGene003805-RA",1.50169419563927e-06,"GAPA-2","glyceraldehyde3phosphate dehydrogenase","K05298"
"01200","Carbon metabolism","KfGene003837-RA",1.50169419563927e-06,"GAPA-2","glyceraldehyde3phosphate dehydrogenase","K05298"
"01200","Carbon metabolism","KfGene004125-RA",1.50169419563927e-06,"PRK","uridine kinase","K00855"
"01200","Carbon metabolism","KfGene004127-RA",1.50169419563927e-06,NA,"ribose-phosphate pyrophosphokinase","K00948"
"01200","Carbon metabolism","KfGene004174-RA",1.50169419563927e-06,NA,"ribose-phosphate pyrophosphokinase","K00948"
"01200","Carbon metabolism","KfGene004175-RA",1.50169419563927e-06,"PRK","uridine kinase","K00855"
"01200","Carbon metabolism","KfGene004260-RA",1.50169419563927e-06,NA,"Glycine cleavage system H protein","K02437"
"01200","Carbon metabolism","KfGene004632-RA",1.50169419563927e-06,"PYK1","Pyruvate kinase","K00873"
"01200","Carbon metabolism","KfGene004668-RA",1.50169419563927e-06,"PYK1","Pyruvate kinase","K00873"
"01200","Carbon metabolism","KfGene005564-RA",1.50169419563927e-06,NA,"Dehydrogenase","K00140,K03437"
"01200","Carbon metabolism","KfGene005579-RA",1.50169419563927e-06,"PCK2","phosphoenolpyruvate carboxykinase","K01610"
"01200","Carbon metabolism","KfGene005865-RA",1.50169419563927e-06,NA,"phosphoglycerate mutase","K15634"
"01200","Carbon metabolism","KfGene005979-RA",1.50169419563927e-06,"SDH1-1","Succinate DeHydrogenase","K00234"
"01200","Carbon metabolism","KfGene006027-RA",1.50169419563927e-06,"SDH1-1","Succinate DeHydrogenase","K00234"
"01200","Carbon metabolism","KfGene006036-RA",1.50169419563927e-06,"SDH1-1","Succinate DeHydrogenase","K00234"
"01200","Carbon metabolism","KfGene006301-RA",1.50169419563927e-06,"PGK-2","phosphoglycerate kinase","K00927"
"01200","Carbon metabolism","KfGene006328-RA",1.50169419563927e-06,NA,"phosphoserine aminotransferase","K00831"
"01200","Carbon metabolism","KfGene006330-RA",1.50169419563927e-06,NA,"serine acetyltransferase","K00640"
"01200","Carbon metabolism","KfGene006455-RA",1.50169419563927e-06,"EMB3003","Pyruvate dehydrogenase","K00627"
"01200","Carbon metabolism","KfGene006729-RA",1.50169419563927e-06,"GAPC","glyceraldehyde3phosphate dehydrogenase","K00134"
"01200","Carbon metabolism","KfGene006903-RA",1.50169419563927e-06,"OSI_25125","Pyruvate kinase","K00873"
"01200","Carbon metabolism","KfGene007051-RA",1.50169419563927e-06,"PPDK","Pyruvate phosphate dikinase","K01006"
"01200","Carbon metabolism","KfGene007629-RA",1.50169419563927e-06,NA,"K00850 6-phosphofructokinase 1 EC 2.7.1.11","K00850"
"01200","Carbon metabolism","KfGene007631-RA",1.50169419563927e-06,NA,"K00850 6-phosphofructokinase 1 EC 2.7.1.11","K00850"
"01200","Carbon metabolism","KfGene007656-RA",1.50169419563927e-06,NA,"The glycine cleavage system catalyzes the degradation of glycine (By similarity)","K00605,K03104"
"01200","Carbon metabolism","KfGene008398-RA",1.50169419563927e-06,"MDH","Malate dehydrogenase","K00026"
"01200","Carbon metabolism","KfGene008470-RA",1.50169419563927e-06,NA,"enolase (EC 4.2.1.11)","K01689"
"01200","Carbon metabolism","KfGene008511-RA",1.50169419563927e-06,"PSP","phosphoserine phosphatase","K01079"
"01200","Carbon metabolism","KfGene008792-RA",1.50169419563927e-06,NA,"ribose 5-phosphate isomerase A","K01807"
"01200","Carbon metabolism","KfGene008828-RA",1.50169419563927e-06,NA,"Acetyl-CoA acetyltransferase","K00626"
"01200","Carbon metabolism","KfGene008831-RA",1.50169419563927e-06,NA,"Acetyl-CoA acetyltransferase","K00626"
"01200","Carbon metabolism","KfGene008849-RA",1.50169419563927e-06,NA,"Acetyl-CoA acetyltransferase","K00626"
"01200","Carbon metabolism","KfGene008979-RA",1.50169419563927e-06,"OASA1","cysteine synthase","K01738"
"01200","Carbon metabolism","KfGene009120-RA",1.50169419563927e-06,"OASA1","cysteine synthase","K01738"
"01200","Carbon metabolism","KfGene009146-RA",1.50169419563927e-06,"OASA1","cysteine synthase","K01738"
"01200","Carbon metabolism","KfGene009403-RA",1.50169419563927e-06,NA,"interconversion of serine and glycine (By similarity)","K00600"
"01200","Carbon metabolism","KfGene009453-RA",1.50169419563927e-06,"IAR4","pyruvate dehydrogenase e1 component","K00161"
"01200","Carbon metabolism","KfGene009790-RA",1.50169419563927e-06,NA,"K00850 6-phosphofructokinase 1 EC 2.7.1.11","K00850"
"01200","Carbon metabolism","KfGene010042-RA",1.50169419563927e-06,"SDH2-2","ribosomal protein","K00235"
"01200","Carbon metabolism","KfGene010114-RA",1.50169419563927e-06,NA,"fructose-bisphosphate aldolase","K01623"
"01200","Carbon metabolism","KfGene010181-RA",1.50169419563927e-06,NA,"Dehydrogenase","K00058"
"01200","Carbon metabolism","KfGene010609-RA",1.50169419563927e-06,"DLA1","Pyruvate dehydrogenase","K00627"
"01200","Carbon metabolism","KfGene010774-RA",1.50169419563927e-06,NA,"interconversion of serine and glycine (By similarity)","K00600"
"01200","Carbon metabolism","KfGene010810-RA",1.50169419563927e-06,NA,"hexokinase","K00844"
"01200","Carbon metabolism","KfGene011239-RA",1.50169419563927e-06,"FDH","Dehydrogenase","K00122"
"01200","Carbon metabolism","KfGene011360-RA",1.50169419563927e-06,"GAPC","glyceraldehyde3phosphate dehydrogenase","K00134"
"01200","Carbon metabolism","KfGene011563-RA",1.50169419563927e-06,"ACS","synthetase","K01895"
"01200","Carbon metabolism","KfGene011586-RA",1.50169419563927e-06,"ACS","synthetase","K01895"
"01200","Carbon metabolism","KfGene012236-RA",1.50169419563927e-06,NA,"iron-responsive element binding protein 2","K01681"
"01200","Carbon metabolism","KfGene012303-RA",1.50169419563927e-06,"ACAT2","Acetyl-CoA acetyltransferase","K00626"
"01200","Carbon metabolism","KfGene012662-RA",1.50169419563927e-06,"AAT","Aspartate aminotransferase","K14455"
"01200","Carbon metabolism","KfGene012790-RA",1.50169419563927e-06,NA,"Pyruvate kinase","K00873"
"01200","Carbon metabolism","KfGene013128-RA",1.50169419563927e-06,NA,"Dehydrogenase","K15919,K18606"
"01200","Carbon metabolism","KfGene013223-RA",1.50169419563927e-06,NA,"formamidase","K01455"
"01200","Carbon metabolism","KfGene013266-RA",1.50169419563927e-06,NA,"formamidase","K01455"
"01200","Carbon metabolism","KfGene013515-RA",1.50169419563927e-06,"ALDH11A3","glyceraldehyde-3-phosphate dehydrogenase","K00131"
"01200","Carbon metabolism","KfGene013553-RA",1.50169419563927e-06,"ALDH11A3","glyceraldehyde-3-phosphate dehydrogenase","K00131"
"01200","Carbon metabolism","KfGene013780-RA",1.50169419563927e-06,NA,"Dehydrogenase","K00030"
"01200","Carbon metabolism","KfGene013959-RA",1.50169419563927e-06,"CAC3","acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha","K01962"
"01200","Carbon metabolism","KfGene013984-RA",1.50169419563927e-06,"CAC3","acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha","K01962"
"01200","Carbon metabolism","KfGene015339-RA",1.50169419563927e-06,NA,"biotin carboxyl carrier protein of acetyl-CoA carboxylase","K02160"
