"GeneID","Gene_Name","KO","Description"
"KfGene000421-RA","CA2","K01673","carbonic anhydrase"
"KfGene000508-RA","CA2","K01673","carbonic anhydrase"
"KfGene000690-RA","MDH","K00026","Malate dehydrogenase"
"KfGene000743-RA","MDH","K00026","Malate dehydrogenase"
"KfGene000744-RA","MDH","K00026","Malate dehydrogenase"
"KfGene001359-RA",NA,"K00026","Malate dehydrogenase"
"KfGene001627-RA",NA,"K00026","Malate dehydrogenase"
"KfGene001731-RA",NA,"K00028","Malic enzyme"
"KfGene002788-RA",NA,"K00028","Malic enzyme"
"KfGene002819-RA",NA,"K00028","Malic enzyme"
"KfGene003198-RA",NA,"K01673","carbonic anhydrase"
"KfGene003253-RA",NA,"K01673","carbonic anhydrase"
"KfGene003268-RA","MDH","K00026","Malate dehydrogenase"
"KfGene004468-RA","NADP-MDH","K00051","Malate dehydrogenase"
"KfGene004483-RA","NADP-MDH","K00051","Malate dehydrogenase"
"KfGene006082-RA",NA,NA,"gamma carbonic anhydrase"
"KfGene006088-RA",NA,NA,"gamma carbonic anhydrase"
"KfGene006698-RA",NA,"K00025","Malate dehydrogenase"
"KfGene006700-RA","PPCK1","K08794","phosphoenolpyruvate carboxylase kinase"
"KfGene006766-RA",NA,"K00025","Malate dehydrogenase"
"KfGene006769-RA","PPCK1","K08794","phosphoenolpyruvate carboxylase kinase"
"KfGene007051-RA","PPDK","K01006","Pyruvate phosphate dikinase"
"KfGene008398-RA","MDH","K00026","Malate dehydrogenase"
"KfGene009128-RA",NA,"K00028","Malic enzyme"
"KfGene009143-RA",NA,"K00028","Malic enzyme"
"KfGene018039-RA","OSI_29552","K01674","Bifunctional monodehydroascorbate reductase and carbonic anhydrase"
"KfGene018040-RA",NA,"K01674","carbonic anhydrase"
"KfGene018172-RA",NA,"K01674","carbonic anhydrase"
"KfGene018173-RA","OSI_29552","K01674","Bifunctional monodehydroascorbate reductase and carbonic anhydrase"
"KfGene020112-RA","MEN","K00029","Malic enzyme"
"KfGene021244-RA","OSI_29552","K01674","Bifunctional monodehydroascorbate reductase and carbonic anhydrase"
"KfGene022037-RA","MEN","K00029","Malic enzyme"
"KfGene022063-RA","MEN","K00029","Malic enzyme"
"KfGene022924-RA",NA,"K01673","carbonic anhydrase"
"KfGene026994-RA","MEN","K00029","Malic enzyme"
"KfGene027954-RA",NA,NA,"gamma carbonic anhydrase"
"KfGene027970-RA",NA,NA,"gamma carbonic anhydrase"
"KfGene028142-RA","MMDH","K00026","Malate dehydrogenase"
"KfGene028164-RA","MMDH","K00026","Malate dehydrogenase"
"KfGene029266-RA",NA,NA,"phosphoenolpyruvate carboxylase kinase"
"KfGene032221-RA","CAH1","K01674","Bifunctional monodehydroascorbate reductase and carbonic anhydrase"
"KfGene033351-RA","MMDH","K00026","Malate dehydrogenase"
"KfGene034850-RA","CA2","K01673","carbonic anhydrase"
"KfGene034852-RA","CA2","K01673","carbonic anhydrase"
"KfGene034962-RA","CA2","K01673","carbonic anhydrase"
"KfGene036760-RA",NA,NA,"phosphoenolpyruvate carboxylase kinase"
"KfGene036811-RA","MEN","K00029","Malic enzyme"
"KfGene036812-RA","MEN","K00029","Malic enzyme"
"KfGene036827-RA","MEN","K00029","Malic enzyme"
"KfGene037909-RA",NA,"K01595","phosphoenolpyruvate carboxylase"
"KfGene037945-RA",NA,"K01595","phosphoenolpyruvate carboxylase"
"KfGene039498-RA",NA,"K00028","Malic enzyme"
"KfGene039528-RA",NA,"K00028","Malic enzyme"
"KfGene040776-RA",NA,"K00025","Malate dehydrogenase"
"KfGene040808-RA",NA,"K00025","Malate dehydrogenase"
"KfGene042239-RA","CA2","K01673","carbonic anhydrase"
"KfGene042303-RA","CA2","K01673","carbonic anhydrase"
"KfGene042382-RA","MDH","K00026","Malate dehydrogenase"
"KfGene042619-RA","MDH","K00026","Malate dehydrogenase"
"KfGene043228-RA",NA,"K00028","Malic enzyme"
"KfGene043251-RA",NA,"K00028","Malic enzyme"
"KfGene044640-RA",NA,"K01673","carbonic anhydrase"
"KfGene045078-RA","CAH1","K01674","Bifunctional monodehydroascorbate reductase and carbonic anhydrase"
"KfGene047801-RA",NA,NA,"gamma carbonic anhydrase"
"KfGene048757-RA",NA,"K00026","Malate dehydrogenase"
"KfGene048844-RA",NA,"K00026","Malate dehydrogenase"
"KfGene049172-RA",NA,NA,"phosphoenolpyruvate carboxylase kinase"
"KfGene049262-RA",NA,NA,"phosphoenolpyruvate carboxylase kinase"
"KfGene050724-RA",NA,NA,"gamma carbonic anhydrase"
"KfGene052604-RA",NA,"K00025","Malate dehydrogenase"
"KfGene052627-RA","PPCK1","K08794","phosphoenolpyruvate carboxylase kinase"
"KfGene053591-RA","MEN","K00029","Malic enzyme"
"KfGene055820-RA",NA,"K01595","phosphoenolpyruvate carboxylase"
"KfGene055993-RA","MEN-1","K00027,K00028,K00029","Malic enzyme"
"KfGene056928-RA",NA,NA,"carbonic anhydrase"
"KfGene057937-RA","MDH2","K00026","Malate dehydrogenase"
"KfGene058232-RA",NA,"K01595","phosphoenolpyruvate carboxylase"
"KfGene058233-RA","PPC1","K01595","phosphoenolpyruvate carboxylase"
"KfGene058312-RA",NA,NA,"Pyruvate phosphate dikinase"
"KfGene059295-RA","PPCK1","K08794","phosphoenolpyruvate carboxylase kinase"
"KfGene059727-RA",NA,"K00028","Malic enzyme"
"KfGene060500-RA","CA2","K01673","carbonic anhydrase"
"KfGene060507-RA","MEN","K00029","Malic enzyme"
